City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
393,Aripuana,BR,77.18,moderate rain,-9.1667,-60.6333,
394,Alofi,NU,78.62,scattered clouds,-19.0595,-169.9187,Taloa Heights
397,Faanui,PF,79.75,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
398,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
402,Nautla,MX,77.86,clear sky,20.2167,-96.7833,Casa Blanca
407,Dori,BF,83.05,few clouds,14.0354,-0.0345,Hôtel Liptako
408,Uarini,BR,78.75,overcast clouds,-2.99,-65.1083,
409,Pangkalanbuun,ID,73.98,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
410,Ouadda,CF,72.97,overcast clouds,8.0777,22.4007,
411,Makakilo City,US,82.56,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
412,Cartagena Del Chaira,CO,75.81,light rain,1.3349,-74.8429,HOTEL LA ROCA
424,Aragarcas,BR,81.01,overcast clouds,-15.8975,-52.2508,Hotel Pousada Tropical
427,Port Blair,IN,81.05,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
429,Palasa,IN,75.42,few clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
431,Bac Lieu,VN,78.53,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
434,Katherine,AU,82.72,overcast clouds,-14.4667,132.2667,Pine Tree Motel
435,Salalah,OM,75.31,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
436,Pyapon,MM,72.63,clear sky,16.2833,95.6833,Aung Naing Thu Motel
438,Banda Aceh,ID,78.21,broken clouds,5.5577,95.3222,Sulthan Hotel International
440,Sao Felix Do Xingu,BR,78.57,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
446,Vila Do Maio,CV,79.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
447,Dolores,AR,71.58,broken clouds,-36.3132,-57.6792,Apart Hotel - Arianos
450,Limbang,MY,77.11,overcast clouds,4.75,115.0,Purnama Hotel
451,Hambantota,LK,71.94,broken clouds,6.1241,81.1185,Bungalow 63
452,Bontang,ID,77.92,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
461,Nanakuli,US,83.98,few clouds,21.3906,-158.1547,Camp Pālehua
463,Latung,PH,83.23,few clouds,5.5,120.8833,
468,Ahipara,NZ,70.81,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
469,Salinopolis,BR,80.58,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
472,Balabac,PH,81.05,scattered clouds,7.9868,117.0645,Sing and Swing Lodge
473,Viedma,AR,80.65,light rain,-40.8135,-62.9967,Hotel Cristal
474,Sampit,ID,73.44,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
475,Punta Cardon,VE,81.99,overcast clouds,11.6581,-70.215,Bambuda hotel
478,Popondetta,PG,82.9,overcast clouds,-8.7537,148.2534,Timos Transit House
484,Birao,CF,70.72,broken clouds,10.2849,22.7882,
486,Merauke,ID,81.01,scattered clouds,-8.4667,140.3333,
492,Black River,JM,81.99,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
495,Myingyan,MM,73.35,few clouds,21.4667,95.3833,Zaw ဆိုင်ကယ်ရောင်းဝယ်ရေး
497,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
498,Berbera,SO,79.54,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
500,Sur,OM,75.58,few clouds,22.5667,59.5289,Sur Plaza Hotel
501,Alta Floresta,BR,74.84,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
