City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Awbari,LY,2021-11-20 02:51:48,26.5921,12.7805,69.03,31,100,5.61
179,Roald,NO,2021-11-20 02:51:49,62.5833,6.1333,45.34,93,100,24.81
180,Ponta Do Sol,PT,2021-11-20 02:51:49,32.6667,-17.1,63.72,66,4,4.92
181,Yeniseysk,RU,2021-11-20 02:51:49,58.4497,92.1703,4.15,93,100,5.66
182,Kaseda,JP,2021-11-20 02:51:49,31.4167,130.3167,67.23,48,0,0.31
183,Lata,PT,2021-11-20 02:51:50,40.1629,-8.3327,58.93,78,83,6.35
184,Kargasok,RU,2021-11-20 02:51:50,59.0556,80.8572,-0.8,97,97,6.78
185,Sines,PT,2021-11-20 02:51:50,37.9562,-8.8698,57.29,87,96,1.01
186,Porto Belo,BR,2021-11-20 02:52:50,-27.1578,-48.5531,69.75,79,97,10.78
187,Muscat,OM,2021-11-20 02:48:23,23.6139,58.5922,69.82,58,0,2.71
188,Dikson,RU,2021-11-20 02:52:51,73.5069,80.5464,-5.64,95,99,4.21
189,Makakilo City,US,2021-11-20 02:52:51,21.3469,-158.0858,82.72,61,90,4.61
190,Vanse,NO,2021-11-20 02:52:51,58.1167,6.7,47.66,47,100,8.46
191,Kahului,US,2021-11-20 02:52:51,20.8947,-156.47,84.22,70,1,17.27
192,Ilulissat,GL,2021-11-20 02:52:52,69.2167,-51.1,4.21,74,100,7.38
193,Miguel Hidalgo,MX,2021-11-20 02:52:52,19.4225,-99.2028,55.58,73,80,1.99
194,Marawi,PH,2021-11-20 02:52:52,7.9986,124.2928,76.64,69,73,2.35
195,Ponta Delgada,PT,2021-11-20 02:52:52,37.7333,-25.6667,64.51,67,20,6.91
196,Rundu,NA,2021-11-20 02:52:53,-17.9333,19.7667,71.89,66,98,0.78
197,Tura,IN,2021-11-20 02:52:53,25.5198,90.2201,71.28,64,16,1.86
198,Bud,US,2021-11-20 02:52:53,39.447,-86.1758,34.34,78,100,7.36
199,Coolum Beach,AU,2021-11-20 02:52:53,-26.5333,153.1,89.33,72,20,13.0
200,Yumen,CN,2021-11-20 02:52:54,40.2833,97.2,27.41,62,99,23.29
201,Chapais,CA,2021-11-20 02:52:54,49.7834,-74.8492,20.98,87,100,9.89
202,Saskylakh,RU,2021-11-20 02:52:54,71.9167,114.0833,-20.9,97,36,7.31
203,Brae,GB,2021-11-20 02:52:54,60.3964,-1.353,48.11,79,100,16.46
204,Maceio,BR,2021-11-20 02:49:54,-9.6658,-35.7353,76.44,88,20,3.44
205,Puerto Ayora,EC,2021-11-20 02:52:55,-0.7393,-90.3518,68.56,91,47,7.0
206,Shimoda,JP,2021-11-20 02:52:55,34.6667,138.95,64.76,65,80,12.35
207,Alice Springs,AU,2021-11-20 02:52:55,-23.7,133.8833,98.15,12,0,19.57
