City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.18,76,2,11.59,clear sky
110,Broome,US,42.2506,-75.833,46.08,63,100,8.01,overcast clouds
111,Le Vauclin,MQ,14.5452,-60.8388,82.53,74,0,6.91,clear sky
112,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,35.94,95,100,7.47,overcast clouds
113,Puerto Ayora,EC,-0.7393,-90.3518,76.96,82,64,8.99,broken clouds
114,Bilopillya,UA,51.1502,34.3129,45.46,78,97,17.34,overcast clouds
115,Iqaluit,CA,63.7506,-68.5145,13.73,85,90,0.0,light snow
116,Hualmay,PE,-11.0964,-77.6139,67.48,80,94,9.93,overcast clouds
117,Rumboci,BA,43.8322,17.5011,34.39,95,16,4.63,few clouds
118,Turukhansk,RU,65.8167,87.9833,-4.34,86,100,18.28,overcast clouds
119,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,20,6.91,few clouds
120,Palmer,US,42.1584,-72.3287,52.09,49,90,4.61,overcast clouds
121,Hovd,MN,48.0056,91.6419,10.69,36,13,1.32,few clouds
122,Pevek,RU,69.7008,170.3133,-18.76,98,26,4.16,scattered clouds
123,Klaksvik,FO,62.2266,-6.589,47.32,89,100,31.76,overcast clouds
124,Udachnyy,RU,66.4167,112.4,-10.35,98,100,3.0,overcast clouds
125,Lagoa,PT,39.05,-27.9833,62.6,82,100,33.08,overcast clouds
126,Tanabe,JP,33.7333,135.3667,64.35,89,100,11.59,heavy intensity rain
127,Asyut,EG,27.181,31.1837,55.58,52,0,4.36,clear sky
128,Novosheshminsk,RU,55.0651,51.2338,30.25,94,99,14.14,overcast clouds
129,Cacequi,BR,-29.8836,-54.825,77.56,46,0,8.68,clear sky
130,Faya,SA,18.3851,42.4509,55.51,55,48,1.81,scattered clouds
131,Kathmandu,NP,27.7167,85.3167,55.62,94,75,3.44,broken clouds
132,Nelson Bay,AU,-32.7167,152.15,66.0,90,100,5.01,light rain
133,Byron Bay,AU,-28.65,153.6167,74.05,84,100,4.92,light rain
134,Ola,RU,59.5833,151.2833,9.46,76,100,11.7,overcast clouds
135,Markova,UA,48.6758,24.4138,37.53,87,51,3.33,broken clouds
136,Bengkulu,ID,-3.8004,102.2655,76.28,89,100,4.43,overcast clouds
137,Hofn,IS,64.2539,-15.2082,43.18,58,59,9.78,broken clouds
138,Erenhot,CN,43.6475,111.9767,11.5,51,0,13.18,clear sky
139,Wanning,CN,18.8003,110.3967,73.92,91,7,3.18,clear sky
